U, real, imaginary, magnitude, phase
25,0.005502183288008225,-0.007812500000000007,0.009555583560664263,-0.9572040116406348
26,8.283304597789254E-17,4.215378046623641E-16,4.295991553361588E-16,0.0
27,-0.006096934841046761,0.007812499999999407,0.009909983385756034,-0.9081166264282368
28,8.023096076392733E-17,8.239936510889834E-17,1.150072277530955E-16,0.0
29,0.006739108845755237,-0.00781250000000056,0.010317496997089228,-0.8590292412160344
30,1.0646865333807654E-16,1.48318857196017E-16,1.8257616915565952E-16,0.0
31,-0.007438118333600945,0.007812499999999943,0.010787064503128253,-0.8099418560036171
32,3.188460526430207E-16,-1.5092094240998222E-16,3.527604515020825E-16,0.0
33,0.008205725361249042,-0.007812500000000088,0.011330008162143886,-0.7608544707912754
34,1.4051260155412137E-16,-2.0643209364124004E-16,2.4971583946680867E-16,0.0
35,-0.009056858651042426,0.0078124999999999445,0.011960846327704456,-0.7117670855789358
36,5.204170427930421E-18,-5.984795992119984E-17,6.007380208187665E-17,0.0
37,0.010010793594035453,-0.007812499999999947,0.012698470168976279,-0.6626797003666
38,-7.849623728795052E-17,0.0,7.849623728795052E-17,0.0
39,-0.011092897683547556,0.0078125000000001,0.013567886175364838,-0.6135923151542643
40,-1.3444106938820255E-17,5.2909066017292616E-17,5.459041379404138E-17,0.0
41,0.012337285687188969,-0.007812500000000114,0.01460286870369379,-0.5645049299419286
42,6.158268339717665E-17,-4.163336342344337E-17,7.43354817321137E-17,0.0
43,-0.01379099117261085,0.007812500000000009,0.015850129140578966,-0.5154175447295766
44,2.5153490401663703E-17,8.153200337090993E-17,8.532388676719232E-17,0.0
45,0.015520771815182605,-0.007812500000000028,0.017376119071558158,-0.46633015951723467
46,2.7755575615628914E-17,-6.245004513516506E-17,6.834017936133213E-17,0.0
47,-0.017624717593196525,0.007812500000000087,0.019278636530883932,-0.4172427743048991
48,-1.474514954580286E-17,-1.5612511283791264E-17,2.1474867722866184E-17,0.0
49,0.02025314466982856,-0.007812500000000142,0.02170771810363787,-0.3681553890925622
50,5.204170427930421E-17,-6.071532165918825E-18,5.23946799507005E-17,0.0
51,-0.023648775033732534,0.0078125,0.02490581692790042,-0.31906800388021433
52,1.734723475976807E-18,3.122502256758253E-17,3.127317220692751E-17,0.0
53,0.02823074751021426,-0.007812500000000139,0.02929181218763139,-0.26998061866787765
54,4.0766001685454967E-17,-6.938893903907228E-18,4.1352329342229297E-17,0.0
55,-0.03479064237823748,0.007812500000000196,0.03565703231258059,-0.22089323345553832
56,-1.196959198423997E-16,6.461844948013606E-17,1.36024472945625E-16,0.0
57,0.045024546914990665,-0.007812500000000031,0.045697319189972135,-0.17180584824319262
58,-3.469446951953614E-18,-1.2576745200831851E-17,1.3046516086644251E-17,0.0
59,-0.06334207659122583,0.007812500000000059,0.06382204809576954,-0.12271846303085222
60,-3.469446951953614E-18,-6.505213034913027E-19,3.529906531158615E-18,0.0
61,0.10591147845587831,-0.007812500000000062,0.10619922986990055,-0.07363107781851139
62,4.336808689942018E-18,3.7513395167998453E-17,3.77632457111881E-17,0.0
63,-0.3182459677506509,0.007812500000000038,0.31834184636299123,-0.02454369260617037
64,0.5,0.0,0.5,0.0
