U, real, imaginary, magnitude, phase
62,3.642919299551295E-16,1.6774776012695725E-15,1.7165779076382033E-15,0.0
63,-1.97758476261356E-15,-2.5432130359992478E-15,3.2216104730084676E-15,0.0
64,1.97758476261356E-16,3.740366398268078E-16,4.230978880426401E-16,0.0
65,5.134781488891349E-16,-5.590146401335261E-16,7.590501809961106E-16,0.0
66,-5.447031714567174E-16,-7.611099250848241E-17,5.499949346817954E-16,0.0
67,-5.613565168260948E-15,-4.722784663346857E-16,5.6333969190956185E-15,0.0
68,-9.54097911787244E-16,1.231653667943533E-16,9.620148298515813E-16,0.0
69,-3.927413949611491E-15,-1.5265566588595902E-16,3.93037963610769E-15,0.0
70,3.8163916471489756E-16,-1.5716594692349872E-15,1.6173317344565668E-15,0.0
71,4.891920202254596E-16,-2.0556473190325164E-16,5.306276393618431E-16,0.0
72,1.6410484082740595E-15,-4.805184028455756E-16,1.7099525764687415E-15,0.0
73,7.28583859910259E-16,-2.42861286636753E-16,7.679948212511533E-16,0.0
74,2.168404344971009E-15,5.672545766444159E-16,2.2413734981062808E-15,0.0
75,7.7021722333370235E-16,1.8093165854438098E-15,1.9664335934584534E-15,0.0
76,-8.118505867571457E-16,1.97758476261356E-16,8.355894866207539E-16,0.0
77,9.08995101411847E-16,-9.194034422677078E-16,1.292893956998966E-15,0.0
78,3.452099717193846E-16,-1.8995222061946038E-15,1.9306357855382545E-15,0.0
79,1.8214596497756474E-16,-5.573666528313481E-15,5.576641975364714E-15,0.0
80,-7.650130529057719E-16,1.2663481374630692E-16,7.754233341657776E-16,0.0
81,1.7607443281164592E-15,-1.9845236565174673E-15,2.6530274654197873E-15,0.0
82,-3.625572064791527E-16,-1.2333883914195098E-15,1.285571721864779E-15,0.0
83,-1.3097162243624894E-15,-2.740863092043355E-16,1.3380881485356595E-15,0.0
84,1.8214596497756474E-16,3.5561831257524545E-16,3.995516697455702E-16,0.0
85,-3.903127820947816E-16,-2.3245294578089215E-16,4.542889387479986E-16,0.0
86,2.3592239273284576E-15,-5.48172618408671E-16,2.4220715841717253E-15,0.0
87,-3.1051550219984847E-15,-6.175615574477433E-16,3.1659706233443943E-15,0.0
88,4.831204880595408E-16,-8.396061623727746E-16,9.68681533775279E-16,0.0
89,-1.3739009929736312E-15,1.519617764955683E-15,2.0486195571805995E-15,0.0
90,-9.419548474554063E-16,-7.945033519973776E-16,1.2322802079802332E-15,0.0
91,3.7773603689394974E-15,-2.8102520310824275E-15,4.70807474824239E-15,0.0
92,-9.098624631498353E-16,-4.773959005888173E-15,4.8598903579967604E-15,0.0
93,2.8232624571522535E-15,-6.765421556309548E-16,2.9031913802419502E-15,0.0
94,1.5601669262066409E-15,-3.9898639947466563E-16,1.6103760382577838E-15,0.0
95,-3.126839065448195E-16,-8.014422459012849E-16,8.602795469656506E-16,0.0
96,-4.151943227893241E-15,-4.440892098500626E-16,4.175625437458896E-15,0.0
97,-4.393946144432004E-15,2.9351521213527576E-15,5.284115885902812E-15,0.0
98,1.4933800723815338E-15,-1.700029006457271E-15,2.2628041593081738E-15,0.0
99,-2.411699312476756E-15,-4.163336342344337E-16,2.4473715019987687E-15,0.0
100,-3.040970253387343E-15,-1.56472057533108E-15,3.4199196716956828E-15,0.0
101,9.896597430447684E-16,-2.785965902418752E-15,2.956523704698369E-15,0.0
102,8.27463098040937E-15,-5.006411951669065E-15,9.671281119467337E-15,0.0
103,4.686355470351344E-15,1.5681900222830336E-15,4.941775747692324E-15,0.0
104,3.587408148320037E-15,-2.588207426157396E-15,4.4236088099479694E-15,0.0
105,3.209238430557093E-16,2.0296264668928643E-15,2.0548420153757945E-15,0.0
106,-1.880440247958859E-15,2.9629076969683865E-15,3.509255981956586E-15,0.0
107,-6.003877950355729E-15,3.5318969970887792E-15,6.965690693736871E-15,0.0
108,-7.806255641895632E-15,-3.353220479063168E-15,8.49598226974586E-15,0.0
109,4.85722573273506E-17,-4.756611771128405E-15,4.756859763059994E-15,0.0
110,-3.122502256758253E-17,-5.447031714567174E-16,5.455974221249145E-16,0.0
111,-1.592476150946709E-15,-3.7279207498741584E-15,4.053809740068761E-15,0.0
112,1.4988010832439613E-15,1.4675760606763788E-15,2.0976615983050436E-15,0.0
113,4.466912950640278E-15,-1.1917550279960665E-15,4.623158158158959E-15,0.0
114,3.733124920302089E-15,-1.231653667943533E-15,3.9310548747555326E-15,0.0
115,-5.421010862427522E-15,6.34561847512316E-15,8.345911130750289E-15,0.0
116,1.915134717478395E-15,1.6375789613221059E-15,2.5198027384412136E-15,0.0
117,3.923944502659538E-15,1.1934897514720433E-15,4.101433681875254E-15,0.0
118,-9.506284648352903E-16,4.871103520542874E-15,4.962997479951031E-15,0.0
119,1.6403545188836688E-14,5.285702431301331E-15,1.7234121531266747E-14,0.0
120,1.4999999999999818,0.5000000000000648,1.5811388300841929,0.32175055439668476
121,2.8449465006019636E-16,1.3817072486155269E-15,1.4106920736962986E-15,0.0
122,-1.4398204850607499E-15,3.628174150005492E-15,3.903425507418919E-15,0.0
123,-2.914335439641036E-16,-9.081277396738585E-16,9.537449879882087E-16,0.0
124,-4.0870085094013575E-15,-5.530732122283055E-15,6.876964182280778E-15,0.0
125,3.726186026398182E-15,-1.2784912017949068E-15,3.939416461405427E-15,0.0
126,-6.938893903907228E-18,1.5794657248768829E-15,1.5794809667449199E-15,0.0
127,3.2682190287403046E-15,-2.5840874579019513E-15,4.1663849569988595E-15,0.0
